headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
Trail Blazers rebound from loss to 76ers by beating Wizards,2016-01-19,"['trail', 'blazer', 'rebound', 'loss', '76ers', 'beating', 'wizard']",0,0,0
All-Time #NBArank: Top 10 shooting guards,2016-01-19,"['alltime', 'nbarank', 'top', '10', 'shooting', 'guard']",0,0,0
"Ex-Bulls assistant, defensive guru Bach, 91, dies",2016-01-19,"['exbulls', 'assistant', 'defensive', 'guru', 'bach', '91', 'dy']",0,0,0
"Curry, Warriors demolish Cavs in Finals rematch",2016-01-19,"['curry', 'warrior', 'demolish', 'cavs', 'final', 'rematch']",0,0,2
Knicks drop 76ers in 2OT after Melo's 3 ties it,2016-01-18,"['knicks', 'drop', '76ers', '2ot', 'melos', '3', 'tie']",0,0,0
20 Questions: Recapping The NFL Playoffs And More,2016-01-18,"['20', 'question', 'recapping', 'nfl', 'playoff']",0,0,0
Debating Cousins' long-term fantasy potential,2016-01-18,"['debating', 'cousin', 'longterm', 'fantasy', 'potential']",0,0,0
Adande: Sharpening MLK's vision of an ongoing justice quest,2016-01-18,"['adande', 'sharpening', 'mlks', 'vision', 'ongoing', 'justice', 'quest']",0,0,0
Melo returns to lineup after missing 2 games,2016-01-18,"['melo', 'return', 'lineup', 'missing', '2', 'game']",0,0,0
The Buzz: USWNT at Lakers game,2016-01-18,"['buzz', 'uswnt', 'lakers', 'game']",0,0,0
Spurs' Parker leaves game with hip soreness,2016-01-18,"['spur', 'parker', 'leaf', 'game', 'hip', 'soreness']",0,0,0
"Foye's late 3-pointer lifts Nuggets over Pacers, 129-126",2016-01-18,"['foyes', 'late', '3pointer', 'lift', 'nugget', 'pacer', '129126']",0,0,0
Crowder blames techs on Wittman's profanity,2016-01-17,"['crowder', 'blame', 'tech', 'wittmans', 'profanity']",0,0,0
Verrier: Why the injury-ravaged Pelicans could be on upswing,2016-01-17,"['verrier', 'injuryravaged', 'pelican', 'could', 'upswing']",0,0,0
Hoiberg says loss of Noah 'tough on everybody',2016-01-17,"['hoiberg', 'say', 'loss', 'noah', 'tough', 'everybody']",0,0,0
Barnes fined $35K for comments about Fisher,2016-01-17,"['barnes', 'fined', '35k', 'comment', 'fisher']",0,0,0
Durant on media: I actually do love you guys,2016-01-17,"['durant', 'medium', 'actually', 'love', 'guy']",0,0,0
Kobe says Rio Olympics not part of future plans,2016-01-17,"['kobe', 'say', 'rio', 'olympics', 'part', 'future', 'plan']",0,0,0
"Fisher, Barnes play nice as Grizzlies best Knicks",2016-01-17,"['fisher', 'barnes', 'play', 'nice', 'grizzly', 'best', 'knicks']",0,0,0
Loss puts Warriors at 37-4 at halfway point,2016-01-17,"['loss', 'put', 'warrior', '374', 'halfway', 'point']",0,0,2
"Noah to have shoulder surgery, miss 4-6 months",2016-01-17,"['noah', 'shoulder', 'surgery', 'miss', '46', 'month']",0,0,0
Trade options for Bulls changed by Noah injury,2016-01-16,"['trade', 'option', 'bull', 'changed', 'noah', 'injury']",0,0,0
Pistons retire 2004 champ Ben Wallace's jersey,2016-01-16,"['piston', 'retire', '2004', 'champ', 'ben', 'wallace', 'jersey']",0,0,0
Fisher: Not thinking of Barnes before Knicks-Griz,2016-01-16,"['fisher', 'thinking', 'barnes', 'knicksgriz']",0,0,0
Melo (ankle) to sit vs. Griz; Porzingis probable,2016-01-16,"['melo', 'ankle', 'sit', 'v', 'griz', 'porzingis', 'probable']",0,0,1
Is Blake Griffin one of the 10 best PFs ever?,2016-01-16,"['blake', 'griffin', 'one', '10', 'best', 'pfs', 'ever']",0,0,0
LeBron hopes Manziel can turn things around,2016-01-16,"['lebron', 'hope', 'manziel', 'turn', 'thing', 'around']",0,0,0
Young: Do Thunder belong in contender conversation?,2016-01-16,"['young', 'thunder', 'belong', 'contender', 'conversation']",0,0,0
Whiteside triple-double (11 blocks) rallies Heat,2016-01-16,"['whiteside', 'tripledouble', '11', 'block', 'rally', 'heat']",0,0,0
Sources: Nets high on Thibodeau for coaching gig,2016-01-15,"['source', 'net', 'high', 'thibodeau', 'coaching', 'gig']",0,1,0
"Baron Davis signs with D-League, eyes return",2016-01-15,"['baron', 'davis', 'sign', 'dleague', 'eye', 'return']",0,0,0
"Noah leaves again for shoulder, will have MRI",2016-01-15,"['noah', 'leaf', 'shoulder', 'mri']",0,0,0
Noah returns from shoulder injury vs. Wizards,2016-01-15,"['noah', 'return', 'shoulder', 'injury', 'v', 'wizard']",0,0,1
"Heat without injured Wade, Andersen at Denver",2016-01-15,"['heat', 'without', 'injured', 'wade', 'andersen', 'denver']",0,0,0
Pelicans GM ready to make trades after poor start,2016-01-15,"['pelican', 'gm', 'ready', 'make', 'trade', 'poor', 'start']",0,0,0
Suns guard Price has surgery on right big toe,2016-01-15,"['sun', 'guard', 'price', 'surgery', 'right', 'big', 'toe']",0,0,0
West: Kobe will be missed globally by millions,2016-01-15,"['west', 'kobe', 'missed', 'globally', 'million']",0,0,0
Pelicans' Perkins: This is not what I signed up for,2016-01-15,"['pelican', 'perkins', 'signed']",0,0,0
"Carmelo, Green hold leads to start All-Star Game",2016-01-15,"['carmelo', 'green', 'hold', 'lead', 'start', 'allstar', 'game']",0,0,0
Former Jacksonville standout Morgan dies at 67,2016-01-15,"['former', 'jacksonville', 'standout', 'morgan', 'dy', '67']",0,0,0
